Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long
201900000001,30,11,2019,1:30,4,93,93053,1,1,1,2,AUTOROUTE A3,48,
201900000002,30,11,2019,2:50,3,93,93066,1,1,1,6,AUTOROUTE A1,48,
201900000003,28,11,2019,15:15,1,92,92036,1,1,1,4,AUTOROUTE A86,48,
201900000004,30,11,2019,20:20,5,94,94069,1,1,1,4,A4,48,
201900000005,30,11,2019,4:00,3,94,94028,1,1,1,2,A86 INT,48,
201900000006,28,11,2019,14:03,1,87,87085,1,3,2,3,FOCH (RUE DU MARECHAL),45,
201900000007,28,11,2019,7:27,2,69,69092,2,1,8,2,BEAUJOLAIS (avenue du),46,
201900000008,29,11,2019,16:40,2,38,38544,2,1,1,6,VICTOR HUGO(RUE),45,
201900000009,28,11,2019,18:00,3,34,34129,1,1,1,5,PALAVAS D986 (ROUTE DE),43,
201900000010,28,11,2019,14:50,1,13,13206,2,1,1,2,LOUIS SALVATOR (BOULEVARD),43,
201900000011,28,11,2019,13:45,1,13,13206,2,1,1,6,BAILLE (BOULEVARD),43,
201900000012,27,11,2019,18:15,4,93,93078,1,1,2,6,AUTOROUTE A104,48,
201900000013,29,11,2019,16:50,1,988,98818,2,1,1,7,AVENUE JAMES COOK,-22,
201900000014,29,11,2019,16:40,1,976,97611,2,9,2,3,m'tsapere-Macoco Mandzarsoa ( rue ),-12,
201900000015,29,11,2019,8:10,1,974,97407,2,1,1,6,COMMUNE DE PARIS (AVENUE),-20,
201900000016,29,11,2019,9:00,1,69,69386,2,1,8,6,GENERAL BROSSET (DU)                (AV),45,
201900000017,29,11,2019,6:50,1,972,97209,2,1,1,6,GABARES (RUE DES),14,
201900000018,29,11,2019,18:30,5,69,69382,2,4,2,3,TREMIE N°6,45,
201900000019,29,11,2019,14:10,1,69,69389,2,1,1,3,PAUL SEDAILLIAN                     (QU),45,
201900000020,29,11,2019,8:15,1,69,69382,2,1,1,6,KITCHENER MARCHAND                  (PT),45,
201900000021,29,11,2019,17:55,4,2B,2B033,1,1,1,3,ST FLORENT-ANCIENNE RT DE,42,
201900000022,29,11,2019,10:10,1,2B,2B033,2,1,6,7,IMPERIALE - ROUTE,42,
201900000023,29,11,2019,9:20,1,2B,2B033,2,1,1,1,PHILIPINES - CHEMIN DES,42,
201900000024,29,11,2019,3:00,5,91,91477,2,1,2,2,HENRI BARBUSSE (RUE),48,
201900000025,29,11,2019,15:15,1,91,91345,2,1,8,6,CATHELIN DR (BOULEVARD DU),48,
201900000026,29,11,2019,18:00,2,86,86194,1,1,1,4,RN 147 BUXEROLLES,46,
201900000027,28,11,2019,18:10,5,86,86194,2,3,1,6,LIBERATION (AVENUE DE LA),46,
201900000028,29,11,2019,12:20,1,83,83137,2,1,1,6,LICES (AVE DES),43,
201900000029,27,11,2019,7:55,3,80,80021,2,1,2,3,ROGER DUMOULIN (AVENUE),49,
201900000030,25,11,2019,14:50,1,78,78126,2,2,8,3,DRIONNE (AVENUE DE LA),48,
201900000031,30,11,2019,1:55,3,78,78551,1,1,1,6,RD 308,48,
201900000032,28,11,2019,11:05,1,77,77284,2,9,8,6,ROSE (BD.JEAN),48,
201900000033,29,11,2019,16:00,1,76,76026,1,1,2,1,RD 1,49,
201900000034,29,11,2019,17:30,5,72,72181,2,1,1,6,BOLLEE (AV) N° PAIRS 224 ET >,47,
201900000035,29,11,2019,14:30,1,71,71540,1,1,8,7,CENTRE A CENTRE (ROUTE),46,
201900000036,29,11,2019,1:00,5,69,69029,2,1,8,3,CHARLES DE GAULLE                   (RP),45,
201900000037,29,11,2019,13:40,1,67,67482,2,1,2,3,JEAN JAURES (AVENUE),48,
201900000038,29,11,2019,13:50,1,66,66136,2,1,1,6,MOULIN (PLACE JEAN),42,
201900000039,28,11,2019,16:35,1,66,66136,2,1,1,6,QUATRE-SAISONS (DES),42,
201900000040,29,11,2019,21:40,3,64,64335,1,1,1,7,SAULT DE NAVAILLES DE,43,
201900000041,29,11,2019,7:00,5,64,64445,2,6,2,3,FRANCOIS MITTERAND,43,
201900000042,29,11,2019,18:15,2,60,60057,2,1,1,6,NOTRE DAME DU THIL (RUE),49,
201900000043,29,11,2019,16:45,2,51,51454,2,1,1,3,AVENUE JEAN JAURES,49,
201900000044,28,11,2019,12:10,1,51,51454,2,1,2,6,ALLEE JACQUES SIMON,49,
201900000045,28,11,2019,6:55,5,51,51454,2,1,1,7,RUE DE TAISSY,49,
201900000046,28,11,2019,19:12,5,51,51108,2,1,1,7,ALLEE VOLTAIRE,48,
201900000047,29,11,2019,21:25,5,50,50218,2,9,2,6,SAINT PAUL (RUE),48,
201900000048,29,11,2019,8:59,2,50,50129,2,1,1,6,CALIGNY (QUAI DE),49,
201900000049,28,11,2019,8:16,1,49,49007,2,1,1,7,TURPIN DE CRISSE AVENUE,47,
201900000050,29,11,2019,17:50,5,45,45147,2,2,1,4,RUE MARCELIN BERTHELOT - AV ORADOUR SUR GLANE,47,
201900000051,29,11,2019,17:10,2,45,45234,2,6,1,3,RUE DES MONTEES,47,
201900000052,29,11,2019,6:55,3,38,38179,1,1,3,1,Avenue de la Combe,45,
201900000053,29,11,2019,14:38,1,37,37261,2,1,1,6,GRAMMONT (AVENUE DE),47,
201900000054,29,11,2019,17:40,3,35,35238,1,1,1,2,RN136,48,
201900000055,29,11,2019,11:34,1,35,35238,2,9,9,2,HOCHE (PLACE),48,
201900000056,29,11,2019,9:10,1,35,35238,2,1,1,6,UKRAINE (ALLEE D'),48,
201900000057,27,11,2019,15:30,1,34,34032,2,1,1,6,VINGT DEUX AOUT 1944 (AV DU),43,
201900000058,29,11,2019,18:45,5,33,33063,2,2,1,2,QUAI DE PALUDATE,44,
201900000059,22,11,2019,18:45,5,33,33063,2,2,2,3,CRS JOURNU AUBER,44,
201900000060,6,11,2019,19:15,5,33,33550,2,6,1,2,RTE DE LEOGNAN,44,
201900000061,29,11,2019,7:30,2,33,33318,2,2,2,1,AVE DU PONT DE L'ORIENT,44,
201900000062,28,11,2019,8:45,1,33,33075,2,3,8,3,ALL DE BOUTAUT,44,
201900000063,27,11,2019,15:10,1,33,33119,2,1,1,6,AVE CARNOT,44,
201900000064,27,11,2019,17:40,5,33,33318,2,6,2,3,AVE DE CANDAU,44,
201900000065,27,11,2019,13:00,1,33,33522,2,4,2,3,BD DU PDT FRANKLIN ROOSEVELT,44,
201900000066,28,11,2019,20:05,4,31,31555,2,1,3,6,RTE DE LAUNAGUET,43,
201900000067,30,11,2019,0:30,5,30,30007,2,1,1,6,D'INDY (AVE VINCENT),44,
201900000068,29,11,2019,5:01,3,29,29232,1,1,3,7,RN 165,48,
201900000069,28,11,2019,18:50,5,29,29019,2,1,1,6,LOUPPE ALBERT (DE 1 A 69 ET 2 A 62),48,
201900000070,27,11,2019,20:11,5,29,29019,2,1,1,2,FOCH MARECHAL,48,
201900000071,26,11,2019,13:05,1,22,22278,2,6,1,7,GUEBRIANT,48,
201900000072,28,11,2019,16:15,1,19,19031,2,2,2,1,MOULIN (BOULEVARD JEAN) COTE POMPIERS,45,
201900000073,28,11,2019,18:05,3,19,19031,2,1,2,6,ALVITRE (AVENUE ABBE),45,
201900000074,29,11,2019,17:08,2,18,18279,2,1,1,6,ROUSSEAU (RUE GEORGES),47,
201900000075,29,11,2019,19:40,3,17,17028,1,1,1,1,DOUX   CHEMIN DU PUITS,46,
201900000076,29,11,2019,13:40,1,13,13117,2,6,1,3,MONNET (AVENUE JEAN),43,
201900000077,24,11,2019,10:30,1,13,13108,1,1,2,7,RD 970 ROUTE D'AVIGNON,43,
201900000078,29,11,2019,14:30,1,13,13210,2,1,1,3,SCHLOESING (BOULEVARD),43,
201900000079,29,11,2019,16:45,2,13,13207,2,3,1,3,Corniche John Fitzgérald Kennedy,43,
201900000080,29,11,2019,12:51,1,13,13208,2,1,1,6,LOUVAIN (BOULEVARD DE),43,
201900000081,22,9,2019,0:20,3,83,83077,1,1,2,6,RD202,43,
201900000082,22,9,2019,2:10,3,74,74145,1,1,1,6,Route de la Frontière,46,
201900000083,21,9,2019,15:55,1,38,38072,1,1,1,4,CD519B,45,
201900000084,20,9,2019,8:00,1,81,81020,1,1,1,1,chemin de Fénols - lieu dit fontaine neuve,43,
201900000085,19,9,2019,12:35,1,33,33496,2,1,1,3,32 Avenue du Périgord,44,
201900000086,20,9,2019,10:38,1,22,22223,1,1,1,2,Pont Ezer,48,
201900000087,1,9,2019,11:00,1,22,22070,2,2,1,3,rue cosquer,48,
201900000088,21,9,2019,4:50,3,76,76287,1,1,1,7,d44,49,
201900000089,21,9,2019,19:35,2,2,2242,1,1,1,7,D969,48,
201900000090,22,9,2019,15:00,1,80,80386,1,1,3,1,D395,49,
201900000091,21,9,2019,18:55,1,59,59630,1,1,1,7,CD62,50,
201900000092,21,9,2019,15:00,1,92,92004,1,1,1,4,RN315 W,48,
201900000093,21,9,2019,13:20,1,78,78118,1,1,1,2,A13,48,
201900000094,21,9,2019,0:55,4,78,78322,1,1,1,2,RN12 EXT,48,
201900000095,20,9,2019,19:03,1,92,92036,1,1,1,2,A86,48,
201900000096,21,9,2019,16:42,1,93,93005,1,1,1,6,AUTOROUTE A1,48,
201900000097,21,9,2019,15:50,1,95,95252,1,1,1,6,AUTOROUTE A15,48,
201900000098,20,9,2019,20:32,5,93,93027,1,1,1,2,AUTOROUTE A86,48,
201900000099,20,9,2019,20:30,3,93,93010,1,1,1,2,AUTOROUTE A3,48,
201900000100,20,9,2019,18:15,1,95,95527,1,1,1,5,AUTOROUTE A1,49,
201900000101,21,9,2019,13:10,1,94,94022,1,1,1,3,A86 INT,48,
201900000102,19,9,2019,17:00,1,71,71040,2,3,1,1,JOSEPH LAMBERT (RUE),46,
201900000103,18,9,2019,20:10,2,63,63113,2,1,1,5,MEUNIERS (RUE DES),45,
201900000104,18,9,2019,19:29,1,63,63113,2,1,1,3,FLAUBERT (BD GUSTAVE),45,
201900000105,18,9,2019,17:36,1,63,63032,2,1,1,6,PARC (AVENUE DU),45,
201900000106,18,9,2019,15:57,1,63,63113,2,2,1,6,Pasteur/DUCLAUX (BD),45,
201900000107,17,9,2019,16:28,1,63,63113,2,1,1,6,SOUS LES VIGNES (RUE),45,
201900000108,16,9,2019,21:10,2,63,63113,2,1,1,6,LAVOISIERS (BD),45,
201900000109,12,9,2019,14:40,1,62,62624,2,1,1,6,REPUBLIQUE (AVE DE LA ),50,
201900000110,2,9,2019,10:30,1,62,62193,2,2,1,3,VALENCIENNES,50,
201900000111,20,9,2019,12:50,1,92,92020,2,1,1,2,VERDUN AVENUE DE AUTRES N°,48,
201900000112,25,7,2019,15:25,1,92,92004,2,1,1,6,NORMANDIE  ( RUE DE ),48,
201900000113,20,9,2019,20:05,5,974,97411,2,1,1,3,BOIS DE NEFLES (ROUTE DE),-20,
201900000114,20,9,2019,6:20,2,974,97411,2,9,1,6,BONNIER (ALLEE),-20,
201900000115,18,9,2019,16:10,1,974,97411,2,2,1,3,HOARAU (RUE MARCEL),-20,
201900000116,20,9,2019,18:18,3,974,97409,1,1,1,6,DU CENTRE(CHEMIN),-20,
201900000117,19,9,2019,21:28,5,973,97302,2,1,1,3,BADUEL (ROUTE DE),4,
201900000118,19,9,2019,14:20,1,69,69276,2,1,1,2,ALFRED NOBEL                            ,45,
201900000119,18,9,2019,12:40,1,69,69142,2,9,1,3,STEPHANE DECHANT                    (R ),45,
201900000120,20,9,2019,17:56,1,2A,2A004,2,1,1,6,AVENUE DU DOCTEUR NOEL FRANCHINI,41,
201900000121,20,9,2019,16:40,1,91,91432,2,1,1,6,GENERAL  LECLERC (RUE DU),48,
201900000122,19,9,2019,20:00,2,91,91687,2,9,1,3,GENERAL DE GAULLE (AVENUE DU),48,
201900000123,19,9,2019,13:35,1,91,91521,1,1,1,1,RESISTANCE (RUE DE LA),48,
201900000124,19,9,2019,17:03,1,87,87085,2,2,1,6,RANSON (RUE LOUIS CASIMIR),45,
201900000125,19,9,2019,9:02,1,87,87085,2,2,1,3,PONT NEUF,45,
201900000126,19,9,2019,17:25,1,87,87085,2,1,1,3,CASSEAUX (AVENUE DES) RD,45,
201900000127,18,9,2019,16:35,1,87,87085,2,3,1,6,NAUGEAT (AVENUE DE,45,
201900000128,21,9,2019,1:20,5,86,86194,2,1,1,2,CHASSEIGNE (BOULEVARD),46,
201900000129,20,9,2019,10:30,1,84,84007,2,1,1,5,C.De GAULLE (Rocade),43,
201900000130,19,9,2019,9:45,1,83,83137,2,1,1,6,PERROUD (AVE CONSTANT),43,
201900000131,20,9,2019,16:30,1,83,83118,2,9,1,6,RUE WALDECK-ROUSSEAU,43,
201900000132,19,9,2019,22:05,4,78,78361,2,2,1,5,Boulevard Maréchal Juin,48,
201900000133,19,9,2019,12:10,1,77,77379,2,1,1,6,JEAN JAURES (AVENUE),48,
201900000134,20,9,2019,20:55,3,77,77132,1,3,1,6,D934 X D344,48,
201900000135,20,9,2019,10:10,1,76,76217,2,9,1,6,DE GAULLE (BOUVEVARD GENERAL),49,
201900000136,19,9,2019,9:00,1,76,76217,2,2,1,6,LIBERATION (AVENUE DE LA),49,
201900000137,20,9,2019,9:50,1,74,74010,2,6,1,6,RHONE (AVENUE DU),45,
201900000138,19,9,2019,16:30,1,72,72181,2,3,1,3,ARNAGE (RUE D') N° IMP 11 ET plus,47,
201900000139,20,9,2019,16:32,1,69,69290,2,1,1,5,HEYRIEUX (D')                       (RO),45,
201900000140,18,9,2019,18:10,1,69,69029,2,9,1,6,LAURENT BONNEVAY          (SQ),45,
201900000141,13,9,2019,20:45,5,69,69275,2,1,1,4,JEAN JAURES                         (AV),45,
201900000142,19,9,2019,18:40,1,67,67482,2,1,1,5,RHIN (AVENUE DU),48,
201900000143,19,9,2019,17:45,2,67,67482,2,1,1,1,KLEBSAU (RUE DE LA),48,
201900000144,19,9,2019,6:50,2,67,67043,2,1,1,6,BISCHWILLER (ROUTE DE),48,
201900000145,19,9,2019,14:08,1,67,67462,2,1,1,6,PRESIDENT POINCARE (RUE DU),48,
201900000146,20,9,2019,10:20,1,66,66136,2,1,1,6,FLANDRES/DUNKERQUE (CARREFOUR),42,
201900000147,20,9,2019,19:40,1,64,64335,2,1,1,7,PLAISANCE DE,43,
201900000148,20,9,2019,18:25,1,64,64129,2,9,1,3,BAYONNE DE,43,
201900000149,15,2,2019,8:20,1,83,83012,1,1,1,1,RD560,43,
201900000150,14,2,2019,11:45,1,9,9324,1,1,1,2,D12,43,
201900000151,17,2,2019,7:45,1,60,60471,2,6,1,3,AVENUE JEAN JAURÈS,49,
201900000152,14,2,2019,15:15,1,45,45145,1,2,1,3,Intersection RD 33 et Lieu dit LE BOIS DU SELLIER,48,
201900000153,18,2,2019,10:25,1,64,64178,1,1,1,7,CD 936,43,
201900000154,15,2,2019,19:30,5,64,64160,2,1,1,6,17 Avenue Edmond Rostand,43,
201900000155,16,2,2019,14:45,1,73,73265,2,3,7,6,D211 Rte FROMAGERIE,45,
201900000156,15,1,2019,14:15,1,43,43185,1,1,1,1,D651,45,
201900000157,15,2,2019,16:00,1,10,10323,2,1,1,6,41 rue Magenta,48,
201900000158,17,2,2019,1:00,3,10,10382,1,1,1,6,RD 439,48,
201900000159,16,2,2019,12:20,1,10,10064,2,9,1,6,rue d'arcis sur aube,48,
201900000160,16,2,2019,3:10,3,10,10176,2,1,9,6,rue du turot,48,
201900000161,15,2,2019,20:30,3,36,36173,1,4,1,3,RD27 PR 20+500,46,
201900000162,15,2,2019,16:50,1,16,16134,1,1,1,3,LD St Léonard,45,
201900000163,16,2,2019,19:00,5,16,16223,2,1,1,7,avenue charles de gaulle,45,
201900000164,16,2,2019,18:00,1,7,7128,1,1,1,1,route de satillieu,45,
201900000165,16,2,2019,16:20,1,7,7215,1,1,1,7,Départementale 120 - lieu-dit LA CHAPELLE,44,
201900000166,16,2,2019,13:35,1,7,7347,1,1,1,7,le chambon,45,
201900000167,15,2,2019,19:20,3,7,7337,1,1,1,6,D270,45,
201900000168,15,2,2019,12:00,1,7,7319,2,2,1,1,Rue Vincent Touchet,44,
201900000169,14,2,2019,16:20,1,21,21408,1,2,1,3,RD903,47,
201900000170,16,2,2019,19:30,3,21,21501,1,1,1,6,D16,47,
201900000171,12,2,2019,15:49,1,40,40288,1,1,7,3,CD 932 PK 22+400,44,
201900000172,16,2,2019,7:00,5,24,24551,1,1,1,1,Les Marimonts,45,
201900000173,16,2,2019,15:25,1,4,4145,1,3,1,2,RD4085 / RD951,44,
201900000174,15,2,2019,14:30,1,4,4049,2,1,1,6,Imp Jean Mermoz,44,
201900000175,15,2,2019,23:50,3,4,4230,1,1,1,7,RD 8,43,
201900000176,15,2,2019,19:55,3,85,85090,1,1,1,2,ZI de la Blauderie,46,
201900000177,15,2,2019,15:45,1,85,85008,1,1,1,7,Rue des Chardonnerets,46,
201900000178,16,2,2019,18:00,2,27,27055,1,2,7,3,intersection D 175 et D 61,49,
201900000179,17,2,2019,16:10,1,28,28335,1,1,1,7,D920,48,
201900000180,16,2,2019,19:20,3,28,28014,1,1,1,2,lieu dit le printemps,48,
201900000181,16,2,2019,15:30,1,28,28287,1,1,1,5,D.153.4 PK: 08+550,48,
201900000182,18,2,2019,11:45,1,28,28137,1,1,1,2,D32,48,
201900000183,16,2,2019,18:19,1,17,17236,2,3,1,3,avenue des comtes duchatel,45,
201900000184,15,2,2019,20:50,5,17,17106,2,2,1,3,intersection RD 731 + RD 128,45,
201900000185,16,2,2019,6:45,2,17,17349,1,1,1,7,D115,46,
201900000186,15,2,2019,17:50,1,52,52058,2,1,1,3,rue James BEAUS,48,
201900000187,15,2,2019,14:15,1,68,68321,1,1,7,1,RD19,47,
201900000188,14,2,2019,15:15,1,68,68375,1,1,1,3,RD2 intersection rue d'ensisheim,47,
201900000189,15,2,2019,17:55,2,78,78356,2,2,1,3,CHEMIN DE LA CHAPELLE,48,
201900000190,15,2,2019,16:05,1,973,97307,1,1,1,1,Route Nationale 1 PK 8+500,4,
201900000191,15,2,2019,18:00,2,80,80160,1,1,7,6,a29 - pk 198+000,49,
201900000192,17,2,2019,19:10,2,76,76660,1,1,1,3,N 1029,49,
201900000193,18,2,2019,17:35,1,60,60030,1,1,1,2,autoroute A16,49,
201900000194,15,2,2019,11:50,1,67,67194,1,1,1,6,Autoroute A35 PK 231.900,48,
201900000195,15,2,2019,11:45,1,67,67106,1,1,1,2,A35 PK231.600,48,
201900000196,12,2,2019,21:00,5,67,67471,2,5,1,3,route de Brumath,48,
201900000197,15,2,2019,16:35,1,42,42279,2,1,1,6,rue jacques prévert,45,
201900000198,16,2,2019,23:25,3,82,82018,1,1,1,7,chemin saulou,44,
201900000199,17,2,2019,12:25,1,33,33527,1,1,1,4,A660 - PK016.850,44,
201900000200,9,2,2019,6:30,3,33,33284,1,1,1,5,A63,44,
201900000201,17,2,2019,15:00,1,51,51121,1,1,7,7,A4,49,
201900000202,17,2,2019,18:50,3,976,97603,1,1,1,7,musical plage,-12,
201900000203,15,2,2019,9:35,1,49,49050,1,1,1,1,d 761,47,
201900000204,13,2,2019,14:55,1,64,64102,1,9,1,6,A 63 - bretelle de Bayonne Mousseroles,43,
201900000205,16,2,2019,13:50,1,13,13114,1,1,1,1,D65,43,
201900000206,15,2,2019,4:15,3,11,11441,1,1,1,6,A9,,
201900000207,15,2,2019,11:15,1,17,17196,1,9,1,7,A10,45,
201900000208,18,2,2019,7:20,1,84,84087,1,1,7,6,bretelle de sortie d'Orange Sud en N/S,44,
201900000209,18,2,2019,8:15,1,13,13037,1,1,1,2,autoroute A8 PK 001+120 sud nord,43,
201900000210,18,2,2019,8:45,1,987,98731,2,1,1,6,TAIOHAE,-8,
201900000211,16,2,2019,9:00,1,988,98821,1,1,3,1,RT.1,,
201900000212,18,2,2019,14:00,1,974,97414,2,1,1,6,rue Séhédic Sery,-21,
201900000213,15,2,2019,21:30,3,973,97306,1,1,1,6,cd 9 pk 31,5,
201900000214,13,2,2019,12:05,1,972,97224,1,1,1,5,Route nationale 4,,
201900000215,18,2,2019,16:30,1,13,13025,1,1,1,5,D7N,43,
201900000216,14,2,2019,11:30,1,29,29230,1,1,1,7,D123,47,
201900000217,16,2,2019,18:20,3,37,37072,1,1,1,3,D751,47,
201900000218,16,2,2019,17:10,1,77,77430,2,6,1,3,D9E1 X RUE DE LA MARNE,49,
201900000219,15,2,2019,9:07,1,77,77183,2,2,1,6,D603 X RUE DE LA BARRE,48,
201900000220,15,2,2019,16:40,1,77,77317,2,4,7,1,RUE D'ANDREZEL/rue des GUIGNEVEAUX,48,
201900000221,16,2,2019,17:45,2,78,78537,2,2,1,3,Rue des Garennes,48,
201900000222,13,2,2019,13:50,1,78,78615,2,1,1,1,route des nourrices,48,
201900000223,16,2,2019,15:35,1,78,78548,2,1,7,3,21 route de dampierre,48,
201900000224,16,2,2019,14:43,1,78,78548,1,1,1,3,D91,48,
201900000225,16,2,2019,19:50,3,78,78503,1,1,1,1,D915,49,
201900000226,16,2,2019,14:00,1,2B,2B148,1,3,1,3,RT205,42,
201900000227,12,2,2019,16:50,2,30,30258,2,1,1,6,avenue Pierre Curie,43,
201900000228,17,2,2019,15:00,1,34,34302,1,1,1,6,chemin communal,43,
201900000229,15,2,2019,0:40,3,34,34081,1,1,1,7,D162e2,43,
201900000230,30,5,2019,16:05,1,17,17145,1,4,1,3,8 Rue des Peupliers,45,
201900000231,23,5,2019,19:47,2,17,17155,2,2,1,3,Rue du Golfe de Barbareu,45,
201900000232,10,5,2019,17:30,1,17,17219,2,3,1,3,Rue Alsace Lorraine,45,
201900000233,19,4,2019,18:45,1,17,17038,1,1,1,6,station AVIA,45,
201900000234,29,5,2019,15:55,1,16,16019,1,1,1,1,Ld Le Grand Talon,45,
201900000235,23,5,2019,18:30,1,16,16415,2,1,1,2,N/A,45,
201900000236,26,5,2019,18:00,1,86,86054,1,1,1,5,D1,46,
201900000237,3,5,2019,20:00,1,86,86019,1,1,1,6,D82,46,
201900000238,25,5,2019,2:45,5,64,64422,2,1,2,7,Avenue Charles et Henri Moureu,43,
201900000239,10,5,2019,17:00,1,64,64422,2,1,1,2,4 Rue Van Gogh,43,
201900000240,8,5,2019,10:00,1,64,64496,1,6,2,3,Giratoire Atturi Ondo,43,
201900000241,29,5,2019,12:00,1,33,33248,1,2,1,3,D1215/Route du Pey de Minson,45,
201900000242,19,4,2019,12:20,1,33,33417,2,1,1,3,RD6E3 64 route de bordeaux,44,
201900000243,5,5,2019,12:05,1,33,33357,1,1,1,5,RD 222,44,
201900000244,17,5,2019,21:00,2,33,33114,1,1,2,1,Baudet,45,
201900000245,17,5,2019,14:30,1,33,33238,2,3,1,3,Avenue de Mont de Marsan,44,
201900000246,28,4,2019,17:30,1,33,33293,1,3,1,1,RD115E6 / Avenue de la Chapelle,44,
201900000247,12,5,2019,22:00,3,33,33433,1,6,1,1,Route d'Ambares,44,
201900000248,26,4,2019,7:10,2,33,33433,2,1,2,6,9 Chemin des Sablons,44,
201900000249,28,4,2019,1:40,5,33,33551,2,1,1,6,1 Castaing,45,
201900000250,1,5,2019,16:45,1,33,33376,1,1,1,6,Route de Castelnau (ex RD212 PR12+380),44,
201900000251,11,5,2019,2:10,5,33,33042,2,2,1,6,Allée de la Briqueterie / Allée des chevreuils sens Est - Ouest,44,
201900000252,19,5,2019,1:30,3,85,85071,1,1,5,1,route départementale 32,46,
201900000253,19,5,2019,16:05,1,85,85198,2,1,1,3,17 Rue des Mauges,46,
201900000254,4,5,2019,11:20,1,72,72154,2,1,1,6,22 Rue de Verdun,47,
201900000255,14,5,2019,21:50,2,49,49332,1,1,1,6,RN 249,47,
201900000256,11,5,2019,11:15,1,49,49301,1,1,1,3,Route Nationale 249 - LA RENAUDIERE,47,
201900000257,26,5,2019,8:00,1,49,49023,2,1,2,1,Rue des Mésanges (Gesté),47,
201900000258,19,5,2019,1:15,3,49,49138,2,3,1,6,Rue du Clos de la Lampe (Brion),47,
201900000259,12,4,2019,18:30,1,49,49271,1,1,1,7,Le Rossay,47,
201900000260,28,4,2019,4:10,4,44,44026,2,1,1,6,1 Avenue du Professeur Jean Rouxel,47,
201900000261,26,2,2019,7:30,2,44,44026,1,2,1,3,Chemin de Gralan,47,
201900000262,18,5,2019,18:10,1,61,61279,1,1,1,6,Le Poteau,48,
201900000263,4,5,2019,9:30,1,61,61209,1,1,3,7,RD51,48,
201900000264,24,5,2019,20:26,1,50,50535,1,1,1,7,Les Tribonnières (Sainte-Pience),48,
201900000265,15,5,2019,21:30,2,14,14762,2,1,1,1,Rue des Clairs Logis (Vire,,
201900000266,9,5,2019,9:10,1,14,14346,1,3,8,1,Sainte-Bazille,49,
201900000267,7,5,2019,19:50,1,14,14728,1,6,1,7,d613,49,
201900000268,17,5,2019,11:30,1,14,14530,1,1,1,6,D 514,,
201900000269,26,5,2019,20:15,1,14,14025,1,1,1,6,RN158,48,
201900000270,16,5,2019,13:50,1,56,56263,2,1,1,2,30 Rue de Vannes,47,
201900000271,22,5,2019,6:40,2,29,29161,2,6,1,3,Route de Fouesnant,47,
201900000272,14,5,2019,18:25,1,29,29272,1,1,7,7,RN165 PK 44+500 Sens de circulation LORIENT-QUIMPER,47,
201900000273,12,5,2019,19:45,1,29,29046,1,1,1,1,CD 765,48,
201900000274,17,5,2019,23:00,3,22,22198,1,1,1,7,D6,48,
201900000275,12,5,2019,17:00,1,22,22198,1,1,1,6,rue de l'ile gande,48,
201900000276,11,5,2019,16:00,1,22,22225,1,9,1,1,lieu dit moulin de kerraufret,48,
201900000277,24,4,2019,7:50,1,22,22339,1,2,2,3,LA BONNELAIS,48,
201900000278,3,5,2019,14:45,1,22,22259,2,3,1,3,Rue des Alouettes,48,
201900000279,25,5,2019,4:10,3,22,22144,1,1,1,7,La Fontenelle,48,
201900000280,18,5,2019,16:55,1,22,22262,2,1,1,3,rue du chemin des sentes,48,
201900000281,4,5,2019,19:30,1,22,22081,1,1,1,7,Rue des Ponts Neufs,48,
201900000282,19,5,2019,2:55,3,22,22162,2,1,1,6,Rue de Beauport,48,
201900000283,13,4,2019,20:15,2,22,22093,1,1,1,1,LA MARE JAUNE,48,
201900000284,11,5,2019,10:40,1,35,35228,1,1,1,1,la vallée rondeau,48,
201900000285,20,5,2019,16:33,1,35,35139,1,1,1,7,les cours,48,
201900000286,4,5,2019,23:00,3,35,35139,1,3,1,6,La Croix Chemin,47,
201900000287,24,5,2019,19:20,1,35,35236,2,6,1,6,Rond Point Rue de la Vieille Ville,47,
201900000288,14,5,2019,16:00,1,35,35257,1,1,1,6,route départementale 113,48,
201900000289,3,5,2019,14:30,1,35,35309,2,1,1,6,D794,48,
201900000290,6,5,2019,8:15,1,35,35240,1,1,7,2,RN 24 sens Lorient Rennes PK 5.750,48,
201900000291,29,5,2019,18:00,1,27,27365,1,1,1,6,D77,49,
201900000292,22,5,2019,19:00,1,27,27188,1,3,1,3,RD 321 - Intersection de ZA Val Richard,49,
201900000293,29,5,2019,12:50,1,27,27335,2,4,8,1,Rue des Prés,49,
201900000294,31,5,2019,10:50,1,27,27016,1,3,1,2,Mantelle,49,
201900000295,6,5,2019,16:40,1,27,27647,1,1,1,1,rd 135 -route des andelys - tosny,49,
201900000296,24,5,2019,15:30,1,27,27358,1,1,1,6,route départementale 57 27120 JOUY SUR EURE,49,
201900000297,27,5,2019,16:40,1,27,27447,1,3,1,3,RD830,48,
201900000298,28,5,2019,16:00,1,76,76454,1,1,1,6,route nationale,49,
201900000299,19,5,2019,23:50,3,60,60446,1,1,2,2,Route nationa 2,49,
201900000300,30,5,2019,18:45,1,60,60402,1,1,1,7,D98,49,
201900000301,14,5,2019,17:24,1,60,60134,1,3,1,3,D137 route de Noailles à Maimbeville,49,
